id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD013515,CLI00917,P011,Nov 23 2022,1,5999,livré,Tétouan,Apple Pay,LIV014,2022-12-02
CMD047224,CLI02622,P014,2023-03-19,1,8999,LIVRE,Tanger,Google Pay,LIV001,2023-03-27
CMD000024,CLI01875,P036,Jun 13 2023,3,899,LIVRE,Agadir,Cash à la livraison,LIV013,2023-06-14
CMD011113,CLI02717,P014,23/07/2023,3,8999,livre,Marrakech,Apple Pay,LIV007,2023-07-26
CMD000987,CLI02020,P021,13/01/2023,2,799,livré,Casablanca,Cash à la livraison,LIV004,2023-01-16
CMD037735,CLI02550,P024,18/03/2022,1,799,LIVRE,Casablanca,PayPal,LIV001,2022-03-26
CMD017033,CLI01444,P001,2024-12-07,1,12999,LIVRE,Rabat,PayPal,LIV003,2024-12-16
CMD032846,CLI04962,P005,09/04/2022,1,2799,LIVRE,rabat,Google Pay,LIV011,2022-04-10
CMD008251,CLI02847,P014,2024-09-05,1,8999,annulé,Marrakech,PayPal,LIV005,2024-09-14
CMD025601,CLI00006,P045,Jul 02 2024,5,49,livre,Tanger,Apple Pay,LIV015,2024-07-08
CMD003284,CLI00668,P002,05/09/2023,2,9499,DONE,TANGER,Carte bancaire,LIV008,2023-09-15
CMD021898,CLI03498,P031,Nov 20 2023,1,349,DONE,Tanger,Apple Pay,LIV005,2023-11-27
CMD011893,CLI00938,P009,2024-10-12,0,13999,en_cours,Oujda,Apple Pay,LIV001,2024-10-13
CMD028016,CLI00956,P011,21/10/2024,3,5999,livré,Kenitra,Western Union,LIV007,2024-10-31
CMD004338,CLI00596,P002,2024-11-20,-2,9499,DONE,oujda,Western Union,LIV005,2024-11-22
CMD014165,CLI03330,P005,Apr 02 2022,-1,2799,DONE,Kenitra,Google Pay,LIV011,2022-04-04
CMD008653,CLI04184,P024,21/01/2023,-1,799,DONE,Tanger,Google Pay,LIV007,2023-01-29
CMD030911,CLI00059,P037,06/11/2022,1,249,LIVRE,Tanger,PayPal,LIV011,2022-11-09
CMD047287,CLI03492,P008,Apr 29 2023,4,1299,DONE,Rabat,PayPal,LIV009,2023-05-04
CMD022884,CLI00431,P005,2023-10-04,2,2799,OK,Meknès,Apple Pay,LIV005,2023-10-13
CMD044374,CLI00960,P045,2023-07-08,1,49,LIVRE,Tanger,Western Union,LIV009,2023-07-18
CMD000528,CLI04379,P006,Mar 09 2022,1,3499,LIVRE,Fès,Cash à la livraison,LIV011,2022-03-14
CMD048995,CLI00656,P043,Feb 17 2023,3,59,DONE,Rabat,Google Pay,LIV011,2023-02-19
CMD000838,CLI02144,P023,Aug 05 2022,1,1299,annule,Tanger,PayPal,LIV005,2022-08-06
CMD015385,CLI03302,P007,2024-12-23,1,2299,retourné,Tanger,Western Union,LIV008,2024-12-28
CMD034813,CLI03745,P034,2023-01-17,1,599,LIVRE,tng,Virement bancaire,LIV007,2023-01-20
CMD020956,CLI03308,P038,Nov 04 2023,1,299,livre,Oujda,Western Union,LIV013,2023-11-05
CMD040090,CLI03491,P020,09/11/2022,2,2899,livre,Fès,Carte bancaire,LIV010,2022-11-15
CMD038124,CLI00933,P019,Jul 06 2024,1,1299,DONE,Casablanca,Cash à la livraison,LIV010,2024-07-14
CMD028500,CLI02561,P028,08/08/2023,1,599,LIVRE,Meknès,Cash à la livraison,LIV012,2023-08-15
CMD014845,CLI04546,P037,Sep 09 2024,2,249,LIVRE,Kenitra,PayPal,LIV009,2024-09-13
CMD028263,CLI02201,P045,Jul 02 2024,1,49,retourne,Casablanca,Western Union,LIV008,2024-07-04
CMD032906,CLI01120,P045,2024-09-12,1,49,livre,Tanger,Western Union,LIV010,2024-09-18
CMD007523,CLI01342,P017,2024-08-17,1,2199,OK,Tanger,Apple Pay,LIV009,2024-08-19
CMD015773,CLI00689,P024,Jun 26 2024,1,799,DONE,Casablanca,Western Union,LIV014,2024-07-03
CMD029637,CLI01977,P003,19/04/2024,1,11999,livré,Agadir,Wafacash,LIV003,2024-04-25
CMD012723,CLI01209,P047,Dec 01 2022,3,29,annule,tangier,Cash à la livraison,LIV005,2022-12-11
CMD007266,CLI01109,P006,08/10/2023,4,0,livre,mkch,Carte bancaire,LIV014,2023-10-17
CMD019067,CLI00812,P048,2023-06-05,1,69,livre,fès,Wafacash,LIV001,2023-06-13
CMD011238,CLI01040,P047,2023-05-06,1,29,livre,casablanca,Carte bancaire,LIV011,2023-05-14
CMD040824,CLI03294,P015,2024-09-19,4,14999,livré,tangier,Wafacash,LIV003,2024-09-29
CMD040589,CLI00495,P032,23/06/2023,5,1299,OK,casablanca,Western Union,LIV010,2023-06-27
CMD048872,CLI00426,P009,2024-08-30,1,13999,livre,Tétouan,PayPal,LIV014,2024-09-02
CMD004102,CLI04160,P022,2023-03-05,1,349,retourné,Casablanca,PayPal,LIV010,2023-03-06
CMD012256,CLI01750,P001,Jan 21 2024,3,12999,annule,fez,Virement bancaire,LIV008,2024-01-29
CMD034502,CLI01382,P015,2023-01-06,3,14999,KO,Tanger,Western Union,LIV013,2023-01-08
CMD040431,CLI02784,P036,2023-07-26,1,899,KO,Tanger,Virement bancaire,LIV015,2023-08-05
CMD015656,CLI02080,P039,Sep 20 2023,2,189,KO,Rabat,Carte bancaire,LIV015,2023-09-29
CMD028314,CLI02887,P029,2023-12-13,4,899,livre,Tanger,Apple Pay,LIV002,2023-12-17
CMD021035,CLI03681,P017,Jul 15 2023,5,2199,DONE,Tanger,Western Union,LIV015,2023-07-19
CMD046867,CLI04076,P049,2024-09-04,1,79,LIVRE,Rabat,Apple Pay,LIV015,2024-09-14
CMD046859,CLI01539,P010,2023-08-06,0,6499,livré,Rabat,Carte bancaire,LIV009,2023-08-10
CMD039834,CLI02179,P025,2024-08-04,1,499,LIVRE,fes,Cash à la livraison,LIV012,2024-08-14
CMD005204,CLI03573,P007,17/11/2024,1,2299,en_cours,Tanger,Cash à la livraison,LIV004,2024-11-23
CMD032722,CLI03493,P006,Feb 16 2024,1,3499,OK,Tanger,Google Pay,LIV009,2024-02-18
